   171    5.93  3.12   .82  82.5 0.8  80.6  3.0   5.5  6  4  5  1.49  .64  n    26.28  1989.4   0.83   .38  49  96 290
   518    6.49   .94   .74  47.8 0.9  49.3  1.1   4.9  9  6  7  2.31  .85      106.7   1943.1   1.44   .45  45 277 221
  2941    6.32   .32   .78  65.0 1.0  64.4  1.4   5.4  6  6  2  1.76  .95       25.04  1999.2   0.669  .21  78 143 111
  5842    7.90   .55  1.02  49.4 0.9  47.4  1.3   6.3 10  7  7  1.78  .93       85.2   1919.    1.14   .04  35 141 142
  9480    4.69  2.14   .20  27.2 0.7  27.9  0.6   1.9  8  7  4  3.12  .67       60.5   1965.    0.62   .36  17  24  44
 11452    9.45   .16  1.66  59.7 1.2  60.2  1.8   8.3  7  7  3  1.41  .98       25.3   1987.7   0.58   .22  74 223 109
 40167    5.72   .35   .60  41.1 0.9  39.1  1.4   3.7  9  9  1  2.80  .95  n    59.56  1989.19  0.862  .32 167 187  13
 42430    5.44  1.46   .73  50.8 0.9  50.2  1.0   4.0  9  6  7  2.32  .86      127.    1986.    1.69   .32  83 124 211
 45617    8.09   .01   .90  56.5 1.0  57.1  1.1   6.9  6  6  3  1.48 1.00       34.17  1981.0   0.68   .32  76 311  24
 46651    3.97  1.21   .43  54.6 0.9  53.9  0.7   2.6  9  4  8  2.70  .81       34.2   1970.0   0.80   .44  57  48 287
 54061    2.02  2.98  1.03  25.6 0.7  26.4  0.5   -.9  8  7  4  5.94       g?   44.5   1958.0   0.59   .39 180 222   0
 55203    4.39   .52   .68 119.7 0.8              4.8  2  2  1  2.62       m    59.95  1995.04  2.53   .41 121 126 100
 56290    5.80  1.56   .59  36.3 0.7  36.3  0.7   3.6  6  6  2  1.95  .79       72.7   1981.8   0.790  .40  46 132  80
 61941    3.55   .05   .43  84.2 0.9  84.5  1.2   3.2  5  4  4  2.90  .99      168.9   1836.4   3.68   .89 148 257  37
 63503    5.07  3.21   .45  39.6 0.8  40.1  0.6   3.1  9  5  8  2.86  .59      105.    1920.    1.26   .38  47 295 269
 64241    5.17   .02   .53  55.9 1.4  69.8 28. :  3.9  8  8  1  2.54 1.00  n    26.5   1989.24  0.678  .53  90  99  12
 65026    8.89  1.08  1.89  95.4 1.6  96.4  2.0   8.8  7  6  4  1.65 0.70) m?   48.7   1968.9   1.51   .22  94  74  90
 67422    7.69   .44  1.16  73.4 1.1  73.3  1.3   7.0  5  5  1  1.50  .95      157.    1916.7   2.44   .45  47 199 155
 71683/1  0.24  1.25   .69 747.1 1.2 742.1  1.4   4.6  1  0  1  2.05  .83  n    79.85  1955.61 17.6    .52  79 232 204
 72659    4.80  2.27   .82 147.1 0.8 149.3  0.8   5.7  2  2  1  1.61  .72      151.6   1909.3   4.94   .51 139 203 347
 73695    5.31   .78   .71  78.4 0.6  78.4  1.0   4.8  6  3  6  2.70       m   206.    2013.    3.8    .55  84  45  57
 75312    5.73   .29   .65  53.5 0.9  53.7  1.2   4.4  6  6  2  2.41  .96       41.61  1975.5   0.863  .28  58 219  23
 75411    4.96   .37   .35  27.7 0.7  27.0  0.7   2.1  9  7  6  3.70  .94  n     3.75  1991.39  0.102  .28 131  51 134
 75415    7.13   .60   .64  27.5 0.7  26.8  0.9   4.3  9  9  3  2.42  .92      257.    1864.2   1.47   .58 134 336 174
 76382    7.59   .19   .95  45.8 0.7  45.9  0.8   5.9  5  5  2  1.68  .98       55.6   1993.99  0.794  .59  63  23   0
 80725    7.79   .18   .94  52.1 0.9  51.2  1.5   6.4  9  6  7  1.56  .98      224.    1921.1   2.21   .75 108 130  94
 81693    3.02  2.66   .70  93.7 0.6  92.6  0.6   2.9  4  2  3  2.45       g?   34.45  1967.7   1.33   .46 131 111  50
 84709    6.37  1.00  1.21 138.2 0.7 143.5 17. :  7.1  3  2  2  1.27  .88  n    42.15  1975.9   1.81   .58 128 247 313
 85667    6.16   .07   .74  59.0 0.8  60.8  1.4   5.0  5  5  2  2.03  .99       46.3   1962.4   0.97   .17  99 326 151
 86036    5.40  3.36   .67  71.0 0.5  71.0  0.6   4.7  7  2  7  1.72  .60       76.1   1947.    1.53   .18 104 307 151
 88601    4.33  1.85   .96 195.7 0.9 196.6  1.4   5.8  2  2  1  1.61  .84       88.34  1984.32  4.56   .50 120  13 301
 93017    5.42  2.61   .66  66.7 0.6  66.8  0.5   4.5  5  3  5  1.78  .67       61.0   1971.8   1.25   .25 114 279  48
 93506    3.27   .20   .06  35.3 0.9  36.6  1.4   1.0  9  8  2  5.63  .96       21.02  1984.7   0.483  .22 111 181 253
 95995    7.37   .31   .90  57.6 0.6  59.8  0.6   6.2  6  3  5  1.64  .96  n     1.351 1990.66  0.083  .38 142 355  66
 97222    8.47   .16  1.04  49.5 0.8  49.1  1.4   6.9  8  6  6  1.37  .98      232.    1945.3   2.07   .77 156 128  91
101769    4.11   .90   .50  32.5 0.7  33.5  0.9   1.7  8  7  3  3.34       g?   26.66  1989.5   0.440  .36  61 349 177
104887    3.89  2.90   .46  49.1 0.6  47.8  0.6   2.3  4  4  2  2.71  .62       49.6   1989.0   0.91   .24 133 118 159
107788    5.74  1.17   .46  29.6 0.8  29.9  0.8   3.1  9  8  4  2.67  .80  n    26.6   1989.8   0.368  .24  70 248 231
110893    9.78  1.62  2.63 247.5 1.5 249.5  3.0  11.8  2  2  1   .47  .59       44.64  1970.3   2.42   .41 172 209 152
111974    6.28   .81   .83  29.5 0.8  30.5  1.0   3.7  9  9  1  2.01       g?   20.83  1983.56  0.287  .74 141  24 253
113445    7.07   .58   .70  32.6 0.9  32.3  0.9   4.6 10  8  5  1.93  .92  n    26.0   1978.1   0.35   .50  89 262 166
